Tamanho,Tempos,Pacotes
100,812.5322587490082,2438079
100,690.5847735404968,2438079
100,745.7859869003296,2438079
100,694.8258230686188,2438079
100,731.4545750617981,2438079
100,718.3218789100647,2438079
100,801.5563843250275,2438079
100,711.5698075294495,2438079
100,695.7826945781708,2438079
100,735.9321341514587,2438079
500,610.2564685344696,310301
500,556.8342196941376,310301
500,510.7685737609863,310301
500,512.8913888931274,310301
500,508.7205829620361,310301
500,518.9780702590942,310301
500,530.6167194843292,310301
500,558.690349817276,310301
500,524.0202479362488,310301
500,486.8105471134186,310301
1000,438.86956453323364,147763
1000,419.7272536754608,147763
1000,506.7650673389435,147763
1000,527.5546231269836,147763
1000,440.9896237850189,147763
1000,441.24649357795715,147763
1000,400.0659923553467,147763
1000,509.3888609409332,147763
1000,480.4175395965576,147763
1000,440.2734172344208,147763
