Tamanho,Tempos,Pacotes,,Tamanho,100
100,"11,7005405426025",1765506,,Média,"11,1744839191437"
100,"10,8511004447937",1765506,,Desvio padrão,"0,227320837511647"
100,"10,9778380393982",1765506,,,
100,"11,2757675647736",1765506,,,
100,"11,1460373401642",1765506,,Tamanho,500
100,"11,2767789363861",1765506,,Média,"1,62004776000977"
100,"11,134761095047",1765506,,Desvio padrão,"0,0355026682569533"
100,"11,2255346775055",1765506,,,
100,"11,0576343536377",1765506,,,
100,"11,0988461971283",1765506,,Tamanho,1000
500,"1,70810604095459",223580,,Média,"1,08134145736694"
500,"1,60666346549988",223580,,Desvio padrão,"0,0224075831748794"
500,"1,61646747589111",223580,,,
500,"1,61771035194397",223580,,,
500,"1,62207674980164",223580,,,
500,"1,63753247261047",223580,,,
500,"1,60205030441284",223580,,,
500,"1,61593317985535",223580,,,
500,"1,57033801078796",223580,,,
500,"1,60359954833984",223580,,,
1000,"1,07167816162109",106889,,,
1000,"1,13181328773499",106889,,,
1000,"1,08027482032776",106889,,,
1000,"1,0860755443573",106889,,,
1000,"1,08643794059753",106889,,,
1000,"1,08790254592896",106889,,,
1000,"1,07010889053345",106889,,,
1000,"1,09168267250061",106889,,,
1000,"1,05736589431763",106889,,,
1000,"1,05007481575012",106889,,,
