Tamanho,Tempos,Pacotes,,Tamanho,100,,,Intervalo,,,
100,"3,9125874042511",1765506,,Média,"4,04627122879028",,,"0,0755275965262881",,"3,971","4,122"
100,"4,10276484489441",1765506,,Desvio padrão,"0,121856750623108",,,"0,0385344880236164",,,
100,"4,10635423660278",1765506,,,,,,,,,
100,"4,15024065971375",1765506,,,,,,,,,
100,"3,98336625099182",1765506,,Tamanho,500,,,Intervalo,,,
100,"4,11221241950989",1765506,,Média,"0,943415856361389",,,"0,00491030551466444",,"0,939","0,948"
100,"4,22893452644348",1765506,,Desvio padrão,"0,00792232113960457",,,"0,00250525791564512",,,
100,"3,92450928688049",1765506,,,,,,,,,
100,"3,84780287742615",1765506,,,,,,,,,
100,"4,09393978118897",1765506,,Tamanho,1000,,,Intervalo,,,
500,"0,965616703033447",223580,,Média,"0,880929279327393",,,"0,0039664754029434",,"0,877","0,885"
500,"0,941090822219849",223580,,Desvio padrão,"0,00639953905935473",,,"0,00202371194027724",,,
500,"0,941048860549927",223580,,,,,,,,,
500,"0,937849521636963",223580,,,,,,,,,
500,"0,939671754837036",223580,,,,,,,,,
500,"0,940392971038818",223580,,,,,,,,,
500,"0,942230939865112",223580,,,,,,,,,
500,"0,942103385925293",223580,,,,,,,,,
500,"0,942331314086914",223580,,,"3,162",,,,,,
500,"0,941822290420532",223580,,,,,,,,,
1000,"0,887825012207031",106889,,,,,,,,,
1000,"0,875194787979126",106889,,,,,,,,,
1000,"0,875350713729858",106889,,,,,,,,,
1000,"0,875516891479492",106889,,,,,,,,,
1000,"0,888128280639648",106889,,,,,,,,,
1000,"0,875454187393189",106889,,,,,,,,,
1000,"0,877390861511231",106889,,,,,,,,,
1000,"0,889168262481689",106889,,,,,,,,,
1000,"0,877166748046875",106889,,,,,,,,,
1000,"0,888097047805786",106889,,,,,,,,,
